employee_id,full_name,email,department,gender,country,salary_eur,hire_date,years_experience,performance_score,contract_type,weekly_hours,gender_normalized,salary_band,seniority_level,years_at_company,is_senior
1173,Employee_173,employee_1@gmail.com,Engineering,male,Belgium,10856.3,2017-12-09,18,1.0,Part-time,40.0,Male,Executive,Principal,8.4,True
1143,Employee_143,employee_1@gmail.com,,male,Belgium,68.95,2018-12-14,12,1.0,Full-time,38.0,Male,Entry,Principal,7.4,False
1010,Employee_10,employee_1@gmail.com,,male,,10335.64,2018-01-20,11,99.0,Unknown,-5.0,Male,Executive,Principal,8.3,True
1068,Employee_68,employee_6@gmail.com,Marketing,male,Belgium,4750.73,,4,4.0,Full-time,40.0,Male,Senior,Mid-level,,True
1053,Employee_53,employee_5@gmail.com,Operations,m,France,6901.22,2016-04-09,30,3.0,Part-time,,Male,Senior,Principal,10.1,True
1176,Employee_176,employee_1@outlook.com,,m,France,4860.37,2017-08-15,1,99.0,Freelance,60.0,Male,Senior,Junior,8.7,True
1019,Employee_19,employee_1@gmail.com,Sales,M,,4769.56,2022-07-16,33,2.0,Full-time,38.0,Male,Senior,Principal,3.8,True
1198,Employee_198,employee_1@outlook.com,Sales,m,France,9390.6,2017-08-25,17,99.0,Freelance,0.0,Male,Executive,Principal,8.7,True
1097,Employee_97,employee_9@company.com,Sales,,France,2729.41,2022-07-25,23,2.0,Freelance,60.0,Unknown,Mid,Principal,3.8,False
1075,Employee_75,employee_7@gmail.com,HR,male,Belgium,1701.71,2018-08-11,2,3.0,Part-time,-5.0,Male,Entry,Mid-level,7.7,False
1026,Employee_26,employee_2@company.com,,male,Germany,357.73,2020-07-07,-2,5.0,Unknown,32.0,Male,Entry,Unknown,5.8,False
1180,Employee_180,employee_1@gmail.com,Engineering,m,France,740.42,2015-09-16,3,1.0,Full-time,20.0,Male,Entry,Mid-level,10.6,False
1017,Employee_17,employee_1@gmail.com,Finance,m,France,2978.21,2021-06-14,11,,Part-time,20.0,Male,Mid,Principal,4.9,False
1046,Employee_46,employee_4@gmail.com,Finance,f,Germany,6733.56,2022-10-31,24,,Unknown,40.0,Female,Senior,Principal,3.5,True
1112,Employee_112,employee_1@outlook.com,,f,Netherlands,3177.94,2019-03-16,4,99.0,Part-time,38.0,Female,Mid,Mid-level,7.1,False
1109,Employee_109,employee_1@gmail.com,Sales,M,France,8398.03,2018-05-11,3,,Full-time,,Male,Executive,Mid-level,8.0,True
1197,Employee_197,employee_1@gmail.com,Finance,m,,2806.93,2019-12-22,31,4.0,Part-time,,Male,Mid,Principal,6.4,False
1074,Employee_74,employee_7@company.com,,,Germany,1412.39,2019-03-26,7,,Full-time,40.0,Unknown,Entry,Senior,7.1,False
1110,Employee_110,employee_1@outlook.com,HR,male,Belgium,5102.18,2015-07-08,3,4.0,Part-time,60.0,Male,Senior,Mid-level,10.8,True
1083,Employee_83,employee_8@outlook.com,Sales,F,Belgium,6905.93,2022-04-24,16,1.0,Full-time,,Female,Senior,Principal,4.0,True
1139,Employee_139,employee_1@company.com,Engineering,,,4011.01,2015-07-20,21,1.0,Full-time,32.0,Unknown,Senior,Principal,10.8,True
