employee_id,full_name,email,department,gender,country,salary_eur,hire_date,years_experience,performance_score,contract_type,weekly_hours
1133,Employee_133,employee_133,Marketing,f,Germany,6869.84,2019-01-10,7,99.0,Part-time,60.0
1149,Employee_149,employee_1@notanemail,,,Germany,782.35,2022-04-01,-1,,Full-time,60.0
1094,Employee_94,employee_94,Engineering,F,,3562.68,2018-10-18,24,2.0,Part-time,32.0
1181,Employee_181,,Operations,male,France,9034.21,2020-03-16,15,5.0,Part-time,40.0
1016,Employee_16,employee_1@notanemail,HR,FEMALE,Germany,10495.5,2022-07-24,34,4.0,PART TIME,60.0
1116,Employee_116,,,male,France,4112.76,2015-11-20,1,4.0,,-5.0
1173,Employee_173,employee_1@gmail.com,Engineering,male,Belgium,10856.3,2017-12-09,18,1.0,PART TIME,40.0
1122,Employee_122,,Finance,f,France,5171.82,2015-02-08,24,3.0,PART TIME,38.0
1076,Employee_76,employee_7@notanemail,,M,Netherlands,6021.83,2022-10-27,6,2.0,Part-time,
1143,Employee_143,employee_1@gmail.com,,male,Belgium,68.95,2018-12-14,12,1.0,full time,38.0
1101,Employee_101,,Marketing,F,,6447.39,2021-01-25,25,5.0,,32.0
1031,Employee_31,employee_3@notanemail,Sales,F,Germany,9990.36,2020-07-22,14,1.0,,20.0
1191,Employee_191,employee_191,Finance,FEMALE,France,-92.0,2023-04-29,20,5.0,Full-time,0.0
1010,Employee_10,employee_1@gmail.com,,male,,10335.64,2018-01-20,11,99.0,,-5.0
1068,Employee_68,employee_6@gmail.com,Marketing,male,Belgium,4750.73,not-a-date,4,4.0,Full-time,40.0
1053,Employee_53,employee_5@gmail.com,Operations,m,France,6901.22,2016-04-09,30,3.0,Part-time,
1176,Employee_176,employee_1@outlook.com,,m,France,4860.37,2017-08-15,1,99.0,Freelance,60.0
1019,Employee_19,employee_1@gmail.com,Sales,M,,4769.56,2022-07-16,33,2.0,Full-time,38.0
1198,Employee_198,employee_1@outlook.com,Sales,m,France,9390.6,2017-08-25,17,99.0,Freelance,0.0
1067,Employee_67,,Finance,FEMALE,,-341.85,2024-03-14,25,5.0,PART TIME,32.0
1190,Employee_190,employee_190,Engineering,m,Germany,5373.91,2021-01-21,5,5.0,PART TIME,60.0
1097,Employee_97,employee_9@company.com,Sales,,France,2729.41,2022-07-25,23,2.0,Freelance,60.0
1075,Employee_75,employee_7@gmail.com,HR,male,Belgium,1701.71,2018-08-11,2,3.0,Part-time,-5.0
1026,Employee_26,employee_2@company.com,,male,Germany,357.73,2020-07-07,-2,5.0,,32.0
1128,Employee_128,,Marketing,,France,11385.97,2019-10-04,20,1.0,full time,20.0
1180,Employee_180,employee_1@gmail.com,Engineering,m,France,740.42,2015-09-16,3,1.0,Full-time,20.0
1098,Employee_98,employee_9@notanemail,,male,Netherlands,2995.73,2019-04-06,24,3.0,full time,60.0
1017,Employee_17,employee_1@gmail.com,Finance,m,France,2978.21,2021-06-14,11,,Part-time,20.0
1046,Employee_46,employee_4@gmail.com,Finance,f,Germany,6733.56,2022-10-31,24,,,40.0
1155,Employee_155,employee_1@notanemail,Marketing,,France,2655.98,2016-06-25,-2,5.0,Full-time,
1112,Employee_112,employee_1@outlook.com,,f,Netherlands,3177.94,2019-03-16,4,99.0,PART TIME,38.0
1056,Employee_56,employee_56,Engineering,male,,8214.91,2023-01-14,26,5.0,full time,
1109,Employee_109,employee_1@gmail.com,Sales,M,France,8398.03,2018-05-11,3,,full time,
1197,Employee_197,employee_1@gmail.com,Finance,m,,2806.93,2019-12-22,31,4.0,Part-time,
1074,Employee_74,employee_7@company.com,,,Germany,1412.39,2019-03-26,7,,full time,40.0
1110,Employee_110,employee_1@outlook.com,HR,male,Belgium,5102.18,2015-07-08,3,4.0,Part-time,60.0
1083,Employee_83,employee_8@outlook.com,Sales,F,Belgium,6905.93,2022-04-24,16,1.0,Full-time,
1139,Employee_139,employee_1@company.com,Engineering,,,4011.01,2015-07-20,21,1.0,full time,32.0
1142,Employee_142,employee_1@gmail.com,,F,France,1082.29,2017-07-31,34,4.0,Part-time,20.0
1102,Employee_102,,Marketing,FEMALE,Belgium,5957.84,not-a-date,18,2.0,PART TIME,-5.0
1087,Employee_87,,,f,Belgium,2986.6,2016-02-16,4,99.0,,
1194,Employee_194,employee_1@outlook.com,Operations,,France,10245.08,2021-11-26,16,3.0,PART TIME,0.0
